"","KSDistance","sSigmaMean","sIntSEMod","sSigmaSD","scn"
"73521",0.5259,0.069568,3,0.07,"High"
"74321",0.8842,0.069568,5,0.07,"High"
"75121",0.7176,0.069568,7,0.07,"High"
"75921",0.0975,0.069568,9,0.07,"High"
"76721",0.2636,0.08696,1,0.07,"High"
"77521",0.1421,0.08696,3,0.07,"High"
"78321",0.6116,0.08696,5,0.07,"High"
"79121",0.185,0.08696,7,0.07,"High"
"79921",0.3398,0.08696,9,0.07,"High"
"80721",0.6275,0.017392,1,0.09,"High"
"81521",0.3904,0.017392,3,0.09,"High"
"82321",0.7319,0.017392,5,0.09,"High"
"83121",0.1982,0.017392,7,0.09,"High"
"83921",0.2275,0.017392,9,0.09,"High"
"84721",0.1898,0.034784,1,0.09,"High"
"85521",0.9838,0.034784,3,0.09,"High"
"86321",0.4182,0.034784,5,0.09,"High"
"87121",0.8151,0.034784,7,0.09,"High"
"87921",0.1348,0.034784,9,0.09,"High"
"88721",0.56,0.052176,1,0.09,"High"
"89521",0.2309,0.052176,3,0.09,"High"
"90321",0.3057,0.052176,5,0.09,"High"
"91121",0.6481,0.052176,7,0.09,"High"
"91921",0.6671,0.052176,9,0.09,"High"
"92721",0.4893,0.069568,1,0.09,"High"
"93521",0.3302,0.069568,3,0.09,"High"
"94321",0.2581,0.069568,5,0.09,"High"
"95121",0.1908,0.069568,7,0.09,"High"
"95921",0.2406,0.069568,9,0.09,"High"
"96721",0.9065,0.08696,1,0.09,"High"
"97521",0.2114,0.08696,3,0.09,"High"
"98321",0.7384,0.08696,5,0.09,"High"
"99121",0.2531,0.08696,7,0.09,"High"
"99921",0.5753,0.08696,9,0.09,"High"
